"США обеспокоены участием военных КНДР в военной операции на Украине, заявила на брифинге представитель Госдепартамента Тэмми Брюс.",Политика
"Пхеньян, по ее словам «не помогает» в урегулировании, а «третьи страны» в том числе КНДР, «помогают в продолжении конфликта между Россией и Украиной и несут за это ответственность».",Политика
"США «по-прежнему обеспокоены прямым участием» военных КНДР в конфликте, сказала Брюс.",Политика
"«Переброска на территорию России военных [КНДР], как и любая поддержка, которую Россия оказывает КНДР в качестве ответной меры, должны прекратиться», — заявила она.",Политика
"






                    Минобороны показало кадры боевой работы военных России и КНДР
                                    


Политика 



",Политика
26 апреля глава Генштаба Валерий Герасимов доложил президенту Владимиру Путину о полном освобождении Курской области и подтвердил участие в боях северокорейских военных. Затем это сделал Пхеньян.,Политика
"Лидер Северной Кореи Ким Чен Ын заявил о «священной миссии по укреплению традиционной дружбы и единства между Кореей и Россией», пообещал увековечить память солдат и поддержать их семьи. Путин поблагодарил северокорейских военных и руководство страны.",Политика
"По словам Путина, участие КНДР в боевых действиях соответствует международному праву и Договору о всеобъемлющем стратегическом партнерстве между Россией и КНДР, подписанному летом 2024 года. Его четвертая статья предусматривает немедленное оказание военной помощи всеми имеющимися средствами в случае, «если одна из сторон окажется в состоянии войны из-за вооруженного нападения одного или нескольких государств».",Политика
"Южная Корея осудила участие военных Северной Кореи в боях. Отправка Пхеньяном солдат в Курскую область нарушает Устав ООН, заявили в южнокорейском Минобороны. Участие северокорейских военнослужащих в конфликте на Украине раскритиковал и Госдеп.",Политика
"Россия готова к прямым переговорам с Украиной без предварительных условий, несмотря на вопрос о легитимности украинского президента Владимира Зеленского, заявил постпред России при ООН Василий Небензя.",Политика
"Во время заседания Совбеза ООН он напомнил о объявленном во время празднования Дня Победы перемирии и добавил, что Россия рассчитывает на аналогичный шаг со стороны Украины.",Политика
"«Подобный шаг мог бы стать прелюдией к прямым мирным переговорам между Россией и Украиной без каких-либо предварительных условий, к которым мы готовы, несмотря на имеющуюся проблему с легитимностью главы киевского режима», — передает его слова «РИА Новости».",Политика
"






                    Лавров объяснил проблему с предложением Зеленского о 30-дневном перемирии
                                    


Политика 


















",Политика
"Ранее, 25 апреля, во время встречи со спецпосланником президента США Стивом Уиткоффом российский президент Владимир Путин выразил готовность Москвы возобновить переговоры с Киевом без предварительных условий.",Политика
"Через несколько дней Кремль опубликовал сообщение, в котором говорится об объявлении Путиным перемирия в дни празднования 80-летия Победы — с 00:00 8 мая по 00:00 11 мая. Зеленский назвал перемирие «попыткой манипуляций» и предложил немедленно прекратить огонь на 30 дней.",Политика
"Министр иностранных дел России Сергей Лавров, комментируя заявление украинского президента, заявил, что предложение Путина — прямые переговоры без предварительных условий, а призыв Киева к 30-дневному перемирию рассматривается как условие.",Политика
У Исламабада есть информация о намерениях Индии ударить по Пакистану в течение 24-36 часов. Об этом заявил министр информации страны Аттаулла Тарар в соцсети X.,Политика
"«Пакистан располагает достоверной информацией о том, что Индия намеревается нанести военный удар в течение ближайших 24-36 часов, используя инцидент в Пахалгаме в качестве ложного предлога», — написал он.",Политика
"Любой акт агрессии повлечет за собой решительный ответ Исламабада, заверил глава ведомства. Индия, по его словам, будет нести «полную ответственность за любые серьезные последствия в регионе».",Политика
"






                    Джамму и Кашмир: история конфликта Индии и Пакистана
                                    


База знаний 


















",Политика
"22 апреля группа вооруженных огнестрельным оружием боевиков атаковала туристов в городе Пахалгаме, расположенном в горном районе Анантнаг союзной территории Джамму и Кашмир. Территория со времен раздела Британской Индии находится под контролем Дели, но на нее претендует и Пакистан. В результате нападения погибли 26 человек — 25 граждан Индии и один гражданин Непала. Десятки получили ранения.",Политика
"Ответственность за теракт взяла на себя группировка «Фронт сопротивления», ответвление базирующейся в Пакистане террористической организации «Лашкар-и-Тайба» (запрещена в России). После этого конфронтация между Индией и Пакистаном значительно усилилась, на границе двух стран начались перестрелки.",Политика
